Q2_1,Q4_3,Q5,Q7,Q10_1,Q10_2,Q10_3,Q16,Q20,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,age,education,race,gender,income,voter_category
2,3,2,1,2,2,2,2,2,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49,College,Other/Mixed,Male,$125k or more,rarely/never
2,2,1,2,2,2,2,2,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,56,High school or less,White,Male,$40-75k,rarely/never
1,2,1,1,2,2,2,2,1,,,,,,,,,,59,College,Black,Male,$125k or more,sporadic
1,3,1,1,2,2,2,3,1,,,,,,,,,,72,High school or less,White,Male,$75-125k,always
2,-1,2,1,2,2,2,2,1,,,,,,,,,,39,Some college,White,Male,Less than $40k,rarely/never
1,3,1,2,2,2,2,2,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40,College,White,Male,$125k or more,rarely/never
1,1,1,1,2,2,2,2,1,,,,,,,,,,62,High school or less,Black,Male,$40-75k,sporadic
1,2,1,1,2,2,2,3,1,,,,,,,,,,75,High school or less,White,Male,Less than $40k,rarely/never
1,3,1,1,2,2,2,1,1,,,,,,,,,,74,College,White,Female,$75-125k,always
1,2,1,1,1,1,1,1,1,,,,,,,,,,62,High school or less,Hispanic,Female,$75-125k,rarely/never
1,3,2,1,2,2,2,2,1,,,,,,,,,,29,College,White,Male,$125k or more,always
1,2,2,1,2,2,2,2,1,,,,,,,,,,77,High school or less,White,Female,$75-125k,always
1,2,1,1,2,2,2,2,1,,,,,,,,,,43,College,White,Female,$125k or more,sporadic
1,1,1,1,2,2,2,1,1,,,,,,,,,,64,Some college,Other/Mixed,Female,$40-75k,always
1,2,1,1,2,1,2,2,1,,,,,,,,,,65,High school or less,White,Female,Less than $40k,sporadic
1,2,1,1,1,1,2,2,1,,,,,,,,,,89,Some college,Black,Male,$75-125k,always
1,2,1,1,2,1,2,-1,1,,,,,,,,,,68,Some college,Black,Female,Less than $40k,always
1,3,1,1,2,1,2,1,1,,,,,,,,,,69,High school or less,White,Female,$40-75k,sporadic
1,1,1,1,2,2,2,3,1,,,,,,,,,,79,College,White,Female,$125k or more,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,71,High school or less,White,Female,Less than $40k,sporadic
1,2,1,2,2,2,2,2,1,,,,,,,,,,66,Some college,White,Male,$40-75k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,72,High school or less,White,Female,$125k or more,always
2,2,1,1,2,2,2,2,2,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53,High school or less,White,Female,$40-75k,rarely/never
1,1,1,1,2,2,2,3,1,,,,,,,,,,62,College,White,Male,$125k or more,rarely/never
3,3,1,1,2,2,2,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,30,College,Black,Male,$75-125k,rarely/never
1,2,1,1,2,2,2,2,1,,,,,,,,,,43,College,Hispanic,Female,$125k or more,always
1,3,2,1,2,1,2,4,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,72,High school or less,White,Female,$40-75k,rarely/never
1,2,1,2,2,2,2,1,1,,,,,,,,,,65,Some college,White,Female,$125k or more,sporadic
4,2,2,1,2,2,2,2,1,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59,High school or less,White,Male,$40-75k,rarely/never
1,1,1,1,2,1,2,1,1,,,,,,,,,,69,High school or less,Black,Male,Less than $40k,always
1,2,1,1,2,1,2,3,1,,,,,,,,,,76,Some college,Black,Female,$40-75k,always
1,3,1,2,2,1,2,1,1,,,,,,,,,,74,Some college,White,Female,Less than $40k,sporadic
1,3,1,1,2,1,2,2,1,,,,,,,,,,69,College,White,Male,$75-125k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,81,College,White,Male,$125k or more,always
1,1,1,1,2,2,2,2,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,High school or less,Black,Male,$125k or more,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,75,High school or less,White,Female,Less than $40k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,44,College,Black,Male,$75-125k,sporadic
1,2,1,1,2,2,1,1,1,,,,,,,,,,47,Some college,White,Female,$125k or more,sporadic
1,1,1,1,2,1,2,1,1,,,,,,,,,,77,College,Black,Female,$125k or more,sporadic
1,1,1,2,2,2,2,1,1,,,,,,,,,,63,College,White,Female,$40-75k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,63,Some college,White,Male,$75-125k,always
1,2,1,2,2,2,2,1,1,,,,,,,,,,82,High school or less,White,Female,$125k or more,always
1,2,1,2,2,2,1,1,1,,,,,,,,,,69,College,Hispanic,Female,$40-75k,always
2,3,1,2,2,2,2,1,1,,,,,,,,,,49,College,White,Male,$75-125k,always
1,1,1,1,2,2,2,1,1,,,,,,,,,,76,Some college,Black,Female,$75-125k,always
1,1,1,1,2,1,2,1,1,,,,,,,,,,57,Some college,White,Female,$125k or more,always
1,3,1,2,2,2,2,1,1,,,,,,,,,,57,College,White,Male,$125k or more,sporadic
1,1,1,2,2,2,2,1,1,,,,,,,,,,41,College,White,Female,$125k or more,sporadic
1,2,1,2,2,2,2,1,1,,,,,,,,,,78,College,White,Female,Less than $40k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,72,College,White,Male,$75-125k,rarely/never
1,3,2,1,2,2,2,3,1,,,,,,,,,,77,High school or less,White,Female,$75-125k,always
1,2,2,1,2,2,2,1,1,,,,,,,,,,46,College,Hispanic,Male,$75-125k,sporadic
1,2,1,1,2,1,1,2,1,,,,,,,,,,73,College,White,Male,Less than $40k,always
1,4,1,1,1,1,1,1,1,,,,,,,,,,60,High school or less,White,Male,$40-75k,sporadic
1,2,1,1,2,2,2,1,1,,,,,,,,,,89,Some college,White,Female,$40-75k,always
1,4,2,1,2,2,2,3,1,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,29,Some college,Black,Male,Less than $40k,rarely/never
1,1,1,2,2,2,2,1,1,,,,,,,,,,64,Some college,White,Male,$125k or more,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,63,Some college,White,Female,$75-125k,rarely/never
1,1,1,1,2,1,2,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60,High school or less,Black,Female,Less than $40k,rarely/never
1,1,1,2,2,2,2,1,2,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,26,College,White,Male,$75-125k,always
1,2,1,1,2,2,2,1,1,,,,,,,,,,25,College,White,Male,$40-75k,always
-1,2,1,2,2,2,2,2,-1,,,,,,,,,,79,High school or less,White,Female,$75-125k,sporadic
1,3,1,1,1,1,2,2,1,,,,,,,,,,74,College,Black,Female,$75-125k,sporadic
1,2,1,2,2,2,2,1,1,,,,,,,,,,73,College,White,Female,$75-125k,always
1,1,1,2,2,2,2,1,1,,,,,,,,,,60,College,White,Male,$125k or more,always
1,2,1,2,2,2,2,1,1,,,,,,,,,,55,Some college,White,Male,$75-125k,sporadic
1,2,1,1,2,2,2,2,1,,,,,,,,,,71,College,White,Male,$125k or more,always
1,1,1,-1,2,2,2,1,1,,,,,,,,,,47,Some college,White,Female,$125k or more,always
1,2,1,1,2,1,2,1,1,,,,,,,,,,72,College,Black,Male,$125k or more,always
3,3,2,1,2,2,1,4,2,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,22,High school or less,White,Female,$75-125k,rarely/never
1,1,1,1,2,2,2,1,1,,,,,,,,,,64,Some college,White,Male,$75-125k,always
1,2,1,1,2,2,2,3,1,,,,,,,,,,88,Some college,White,Male,$40-75k,always
1,2,1,2,2,2,2,1,1,,,,,,,,,,66,High school or less,White,Female,$40-75k,always
